Subject,Course_Number,Course_Code,Title,Credits,Description,Requisites,Equivalent_To,Additional_Information,Repeatable,Other_Notes,Description_HTML
EDLD,507,EDLD 507,Seminar: [Topic],1-4 Credits,"Topics include Human Services, Peer Health Education.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Topics include Human Services, Peer Health Education.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDLD,508,EDLD 508,Workshop: [Topic],1-21 Credits,"An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDLD,510,EDLD 510,Experimental Course: [Topic],1-4 Credits,Experimental course - topic varies.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Experimental course - topic varies.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDLD,601,EDLD 601,Research: [Topic],1-16 Credits,Disciplined inquiry of a topic with varying techniques and assignments suited to the nature and conditions of the problem being investigated. Often pursued in relation to a dissertation or thesis.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Disciplined inquiry of a topic with varying techniques and assignments suited to the nature and conditions of the problem being investigated. Often pursued in relation to a dissertation or thesis.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDLD,603,EDLD 603,Dissertation,1-16 Credits,A written document resulting from study or research and submitted as a major requirement for a degree.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A written document resulting from study or research and submitted as a major requirement for a degree.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDLD,604,EDLD 604,Internship: [Topic],1-12 Credits,Professional practice in an organization that integrates concepts studied at the university with career-related work experience.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Professional practice in an organization that integrates concepts studied at the university with career-related work experience.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDLD,605,EDLD 605,Reading and Conference: [Topic],1-16 Credits,A particular selection of material read by a student and discussed in conference with a faculty member.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A particular selection of material read by a student and discussed in conference with a faculty member.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDLD,606,EDLD 606,Field Studies: [Topic],1-16 Credits,A series of practical experiences on or off campus to understand principles or develop skills in performing selected tasks.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A series of practical experiences on or off campus to understand principles or develop skills in performing selected tasks.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDLD,607,EDLD 607,Seminar: [Topic],1-6 Credits,"A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDLD,608,EDLD 608,Workshop: [Topic],1-16 Credits,"An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDLD,609,EDLD 609,Terminal Project,1-12 Credits,A presentation incorporating the knowledge and skills acquired from course work completed for a degree.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A presentation incorporating the knowledge and skills acquired from course work completed for a degree.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDLD,610,EDLD 610,Experimental Course: [Topic],1-7 Credits,Experimental course - topic varies.,,,,Repeatable 24 times for a maximum of 75 credits,,"<p class=""courseblockdesc"">
Experimental course - topic varies.<br/><b>Repeatable 24 times for a maximum of 75 credits</b><br/>
</p>"
EDLD,611,EDLD 611,K-12 Education Policy for School Leaders,2 Credits,"Introduction to the education policy process at the state and local levels, focusing on school leaders. Emphasis placed on examining policies that further marginalize students and staff that have been historically underserved and underrepresented.",,,,,,"<p class=""courseblockdesc"">
Introduction to the education policy process at the state and local levels, focusing on school leaders. Emphasis placed on examining policies that further marginalize students and staff that have been historically underserved and underrepresented.<br/>
</p>"
EDLD,612,EDLD 612,Communications and Community Relations,4 Credits,"Principal Licensure candidates learn proactive systems, strategies, and protocols for communicating with staff, students, parents and community members. Students develop an overall communication plan for their school or district location for ensuring the effective two-way flow of communication.",,,,,,"<p class=""courseblockdesc"">
Principal Licensure candidates learn proactive systems, strategies, and protocols for communicating with staff, students, parents and community members. Students develop an overall communication plan for their school or district location for ensuring the effective two-way flow of communication.<br/>
</p>"
EDLD,613,EDLD 613,Ethical Leadership,4 Credits,Prepare Principal Licensure candidates to become ethical leaders that lead with an equity lens at the forefront of the leadership decisions they make. Examine the ethical implications of school board policies and how to apply an equity lens to these policies.,,,,,,"<p class=""courseblockdesc"">
Prepare Principal Licensure candidates to become ethical leaders that lead with an equity lens at the forefront of the leadership decisions they make. Examine the ethical implications of school board policies and how to apply an equity lens to these policies.<br/>
</p>"
EDLD,614,EDLD 614,School Improvement Through Curriculum and Assessment,4 Credits,"Develop the knowledge and skills related to leading curriculum, assessment and instruction at the building level. Analyze curriculum frameworks, state and national standards, effective strategies and assessment practices and leading professional learning will be examined. Create a school improvement plan.",,,,,,"<p class=""courseblockdesc"">
Develop the knowledge and skills related to leading curriculum, assessment and instruction at the building level. Analyze curriculum frameworks, state and national standards, effective strategies and assessment practices and leading professional learning will be examined. Create a school improvement plan.<br/>
</p>"
EDLD,615,EDLD 615,Leading Educational Change Initiatives,3 Credits,"Overview of current thought on how to lead successful organizational change initiatives. Readings come from the fields of business as well as education, and the focus is on leading change initiatives in educational settings.",,,,,,"<p class=""courseblockdesc"">
Overview of current thought on how to lead successful organizational change initiatives. Readings come from the fields of business as well as education, and the focus is on leading change initiatives in educational settings.<br/>
</p>"
EDLD,616,EDLD 616,Supervision of Teaching and Learning,4 Credits,"Explores the theory, research and practical applications of supervision and evaluation. Analysis of supervisory behaviors that lead to improvement of teaching and learning, that in turn lead to improved outcomes for all students, particularly those students who have been underserved or historically marginalized.",,,,,,"<p class=""courseblockdesc"">
Explores the theory, research and practical applications of supervision and evaluation. Analysis of supervisory behaviors that lead to improvement of teaching and learning, that in turn lead to improved outcomes for all students, particularly those students who have been underserved or historically marginalized.<br/>
</p>"
EDLD,617,EDLD 617,Oregon School Management and Budget,4 Credits,"Prepare future administrators for designing a system for developing, allocating and managing a school-based budget, including opportunities for staff input into the budget cycle and specific strategies for engaging the community, particularly those parts of the community that are underrepresented.",,,,,,"<p class=""courseblockdesc"">
Prepare future administrators for designing a system for developing, allocating and managing a school-based budget, including opportunities for staff input into the budget cycle and specific strategies for engaging the community, particularly those parts of the community that are underrepresented.<br/>
</p>"
EDLD,624,EDLD 624,Leading for Equity,3 Credits,This course is designed to provide advanced exposure to current research and practice in leading for equity and inclusion within professional educational settings and a strong conceptual foundation in leadership.,,,,,,"<p class=""courseblockdesc"">
This course is designed to provide advanced exposure to current research and practice in leading for equity and inclusion within professional educational settings and a strong conceptual foundation in leadership.<br/>
</p>"
EDLD,625,EDLD 625,Survey and Questionnaire Design,3 Credits,Students gain practical experience in the collection and analysis of social science information through the design of surveys and questionnaires.,,,,,,"<p class=""courseblockdesc"">
Students gain practical experience in the collection and analysis of social science information through the design of surveys and questionnaires.<br/>
</p>"
EDLD,627,EDLD 627,Leaders Serving Special Populations,3 Credits,"School and district leaders' preparation for future work serving students and families of students receiving special education services, as well as dually-identified students (English language learners receiving special education services). Eligibility, placement, Individual Education Plans, and meaningful inclusion of student and family voice and choice.",,,,,,"<p class=""courseblockdesc"">
School and district leaders' preparation for future work serving students and families of students receiving special education services, as well as dually-identified students (English language learners receiving special education services). Eligibility, placement, Individual Education Plans, and meaningful inclusion of student and family voice and choice.<br/>
</p>"
EDLD,628,EDLD 628,Hierarchical Linear Models I,3 Credits,"Introduction to multilevel modeling and hierarchical data structures, random and fixed effects, intercepts and slopes as outcomes models, estimation, centering, and the use and interpretation of HLM statistical software. Sequence with EDLD 629.",Prereq: EDUC 642.,,,,,"<p class=""courseblockdesc"">
Introduction to multilevel modeling and hierarchical data structures, random and fixed effects, intercepts and slopes as outcomes models, estimation, centering, and the use and interpretation of HLM statistical software. Sequence with <a class=""bubblelink code"" href=""/search/?P=EDLD%20629"" onclick=""return showCourse(this, 'EDLD 629');"" title=""EDLD 629"">EDLD 629</a>.<br/><b>Requisites:</b> Prereq: EDUC 642.<br/>
</p>"
EDLD,629,EDLD 629,Hierarchical Linear Models II,3 Credits,"This course will include advanced topics in multilevel modeling and hierarchical data structures, including longitudinal and categorical data analysis, estimation methods, missing data and multiple imputation, and the use and interpretation of different HLM statistical software packages, including HLM, R, and Mplus. Sequence with EDLD 628.",Prereq: EDLD 628.,,,,,"<p class=""courseblockdesc"">
This course will include advanced topics in multilevel modeling and hierarchical data structures, including longitudinal and categorical data analysis, estimation methods, missing data and multiple imputation, and the use and interpretation of different HLM statistical software packages, including HLM, R, and Mplus. Sequence with <a class=""bubblelink code"" href=""/search/?P=EDLD%20628"" onclick=""return showCourse(this, 'EDLD 628');"" title=""EDLD 628"">EDLD 628</a>.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=EDLD%20628"" onclick=""return showCourse(this, 'EDLD 628');"" title=""EDLD 628"">EDLD 628</a>.<br/>
</p>"
EDLD,633,EDLD 633,Structural Equation Modeling I,3 Credits,"Theory, application, and interpretation of structural equation modeling techniques. Includes covariance structures, path diagrams, path analysis, model identification, estimation, and testing. Sequence with EDLD 634.",Prereq: EDUC 642; EDUC 644 recommended.,,,,,"<p class=""courseblockdesc"">
Theory, application, and interpretation of structural equation modeling techniques. Includes covariance structures, path diagrams, path analysis, model identification, estimation, and testing. Sequence with <a class=""bubblelink code"" href=""/search/?P=EDLD%20634"" onclick=""return showCourse(this, 'EDLD 634');"" title=""EDLD 634"">EDLD 634</a>.<br/><b>Requisites:</b> Prereq: EDUC 642; EDUC 644 recommended.<br/>
</p>"
EDLD,634,EDLD 634,Structural Equation Modeling II,3 Credits,"Emphasis on structural and latent variable models, including cross-validation, mean structures, comparing groups and models, latent growth-curve analyses. Sequence with EDLD 633. Offered alternate years.",Prereq: EDLD 633.,,,,,"<p class=""courseblockdesc"">
Emphasis on structural and latent variable models, including cross-validation, mean structures, comparing groups and models, latent growth-curve analyses. Sequence with <a class=""bubblelink code"" href=""/search/?P=EDLD%20633"" onclick=""return showCourse(this, 'EDLD 633');"" title=""EDLD 633"">EDLD 633</a>. Offered alternate years.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=EDLD%20633"" onclick=""return showCourse(this, 'EDLD 633');"" title=""EDLD 633"">EDLD 633</a>.<br/>
</p>"
EDLD,635,EDLD 635,Executive Leadership for Principals,4 Credits,"Investigation of leadership theory and styles as they relate to equitable, ethical and instructionally inclusive criteria. Creating vision and execution for strategic systems and structures that lead to a positive culture infused with high expectations and accountability.",,,,,,"<p class=""courseblockdesc"">
Investigation of leadership theory and styles as they relate to equitable, ethical and instructionally inclusive criteria. Creating vision and execution for strategic systems and structures that lead to a positive culture infused with high expectations and accountability.<br/>
</p>"
EDLD,636,EDLD 636,School Ethics and Governance,2 Credits,"Examination of how intentional school and district governance serves system transformation. Viewing ethics through an equity lens, leaders develop policies and practices that eliminate systems of advantage and disadvantage thereby closing the opportunity and achievement gaps present in their schools and system.",,,,,,"<p class=""courseblockdesc"">
Examination of how intentional school and district governance serves system transformation. Viewing ethics through an equity lens, leaders develop policies and practices that eliminate systems of advantage and disadvantage thereby closing the opportunity and achievement gaps present in their schools and system.<br/>
</p>"
EDLD,638,EDLD 638,Advanced Public School Law,3 Credits,"Overview of legal issues in school board–superintendent relations, media relations, personnel evaluation practices, student and employee rights, collective bargaining, contract management, and official complaints.",,,,,,"<p class=""courseblockdesc"">
Overview of legal issues in school board–superintendent relations, media relations, personnel evaluation practices, student and employee rights, collective bargaining, contract management, and official complaints.<br/>
</p>"
EDLD,640,EDLD 640,Educational Data Science Capstone Project,4 Credits,"The final course of the Educational Data Science specialization, this course is an applied capstone where students tackle an applied data problem.","Prereq: EDLD 651, EDLD 652, EDLD 653, EDLD 654.",,,,,"<p class=""courseblockdesc"">
The final course of the Educational Data Science specialization, this course is an applied capstone where students tackle an applied data problem.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=EDLD%20651"" onclick=""return showCourse(this, 'EDLD 651');"" title=""EDLD 651"">EDLD 651</a>, <a class=""bubblelink code"" href=""/search/?P=EDLD%20652"" onclick=""return showCourse(this, 'EDLD 652');"" title=""EDLD 652"">EDLD 652</a>, <a class=""bubblelink code"" href=""/search/?P=EDLD%20653"" onclick=""return showCourse(this, 'EDLD 653');"" title=""EDLD 653"">EDLD 653</a>, <a class=""bubblelink code"" href=""/search/?P=EDLD%20654"" onclick=""return showCourse(this, 'EDLD 654');"" title=""EDLD 654"">EDLD 654</a>.<br/>
</p>"
EDLD,643,EDLD 643,Evidence-Based Decision Making in Schools,3 Credits,Introduces basic concepts of evidence-based decision making applied to school settings. Focuses on the application of research-based practices for the improvement of academic and behavioral performance in schools.,,,,,,"<p class=""courseblockdesc"">
Introduces basic concepts of evidence-based decision making applied to school settings. Focuses on the application of research-based practices for the improvement of academic and behavioral performance in schools.<br/>
</p>"
EDLD,644,EDLD 644,Learning Organization,3 Credits,"Four theories of organizational learning are explored: structural frame, human resource, political, and symbolic.",,,,,,"<p class=""courseblockdesc"">
Four theories of organizational learning are explored: structural frame, human resource, political, and symbolic.<br/>
</p>"
EDLD,649,EDLD 649,Ethical Governance for School District Leaders,2 Credits,"Intentional school and district governance serves system transformation. Viewing ethics through an equity lens, leaders will develop policies and practices that eliminate systems of advantage and disadvantage thereby closing the opportunity and achievement gaps present in their public schools and system.",,,,,,"<p class=""courseblockdesc"">
Intentional school and district governance serves system transformation. Viewing ethics through an equity lens, leaders will develop policies and practices that eliminate systems of advantage and disadvantage thereby closing the opportunity and achievement gaps present in their public schools and system.<br/>
</p>"
EDLD,650,EDLD 650,Advanced Seminar Educational Research Methods,3 Credits,Examines special issues in the use and application of educational statistics and research design in a discussion-seminar format.,"Prereq: EDUC 612, EDUC 614, EDUC 640.",,,,,"<p class=""courseblockdesc"">
Examines special issues in the use and application of educational statistics and research design in a discussion-seminar format.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=EDUC%20612"" onclick=""return showCourse(this, 'EDUC 612');"" title=""EDUC 612"">EDUC 612</a>, <a class=""bubblelink code"" href=""/search/?P=EDUC%20614"" onclick=""return showCourse(this, 'EDUC 614');"" title=""EDUC 614"">EDUC 614</a>, <a class=""bubblelink code"" href=""/search/?P=EDUC%20640"" onclick=""return showCourse(this, 'EDUC 640');"" title=""EDUC 640"">EDUC 640</a>.<br/>
</p>"
EDLD,651,EDLD 651,Introductory Educational Data Science,3 Credits,"Introduces students to the fundamentals of statistical computing for data science. Introductory programming, data wrangling, data visualization, reproducible research.",,,,,,"<p class=""courseblockdesc"">
Introduces students to the fundamentals of statistical computing for data science. Introductory programming, data wrangling, data visualization, reproducible research.<br/>
</p>"
EDLD,652,EDLD 652,Data Visualization for Educational Data Science,3 Credits,"Best practices in data visualization for social data science communication. Visual perception, color, uncertainty, and communication mediums.",Prereq: EDLD 651.,,,,,"<p class=""courseblockdesc"">
Best practices in data visualization for social data science communication. Visual perception, color, uncertainty, and communication mediums.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=EDLD%20651"" onclick=""return showCourse(this, 'EDLD 651');"" title=""EDLD 651"">EDLD 651</a>.<br/>
</p>"
EDLD,653,EDLD 653,Functional Programming for Educational Data Science,3 Credits,Foundations of functional programming for data science. Function writing and iteration emphasized.,Prereq: EDLD 651.,,,,,"<p class=""courseblockdesc"">
Foundations of functional programming for data science. Function writing and iteration emphasized.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=EDLD%20651"" onclick=""return showCourse(this, 'EDLD 651');"" title=""EDLD 651"">EDLD 651</a>.<br/>
</p>"
EDLD,654,EDLD 654,Machine Learning for Educational Data Science,3 Credits,"Statistical models for prediction. Bias-variance tradeoff, cross-validation methods, model evaluation, and a variety of models used in data science.",Prereq: EDLD 651.,,,,,"<p class=""courseblockdesc"">
Statistical models for prediction. Bias-variance tradeoff, cross-validation methods, model evaluation, and a variety of models used in data science.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=EDLD%20651"" onclick=""return showCourse(this, 'EDLD 651');"" title=""EDLD 651"">EDLD 651</a>.<br/>
</p>"
EDLD,661,EDLD 661,Item Response Theory I,3 Credits,"Theory and application of item response measurement models. Participation outcomes include knowledge of IRT models, terminology, and resources. Emphasis on popular models and underlying assumptions.",,,,,,"<p class=""courseblockdesc"">
Theory and application of item response measurement models. Participation outcomes include knowledge of IRT models, terminology, and resources. Emphasis on popular models and underlying assumptions.<br/>
</p>"
EDLD,675,EDLD 675,Oregon School and District Finance,4 Credits,"Overview of school finance concepts, Oregon's school financing system, political and legal considerations, taxation, state distribution formulas, school finance reform, the federal role in education.",,,,,,"<p class=""courseblockdesc"">
Overview of school finance concepts, Oregon's school financing system, political and legal considerations, taxation, state distribution formulas, school finance reform, the federal role in education.<br/>
</p>"
EDLD,677,EDLD 677,PhD Research Seminar,3 Credits,The primary purpose of this course is to induct doctoral students into the practice of educational research and provide them a base for a career as a faculty member at an institution of higher education or a member of a research institute.,,,,,,"<p class=""courseblockdesc"">
The primary purpose of this course is to induct doctoral students into the practice of educational research and provide them a base for a career as a faculty member at an institution of higher education or a member of a research institute.<br/>
</p>"
EDLD,686,EDLD 686,Oregon Legal Issues in Public Education,4 Credits,"Gain knowledge of the legal foundations and understanding of the legal responsibilities of Oregon Administrators in relationship to students and families served, their access to educational opportunities and to educational staff who support students, families, and programs.",,,,,,"<p class=""courseblockdesc"">
Gain knowledge of the legal foundations and understanding of the legal responsibilities of Oregon Administrators in relationship to students and families served, their access to educational opportunities and to educational staff who support students, families, and programs.<br/>
</p>"
EDLD,687,EDLD 687,Supervisory Practices for School Administrators,3 Credits,"School building and district professionals examine National Educational Leadership Preparation Program (NELP) and Oregon standards. Students explore frameworks for principal support, four dimensions of school leadership, and principal supervisors with the goal of improving student learning and instruction, with emphasis on historically marginalized students.",,,,,,"<p class=""courseblockdesc"">
School building and district professionals examine National Educational Leadership Preparation Program (NELP) and Oregon standards. Students explore frameworks for principal support, four dimensions of school leadership, and principal supervisors with the goal of improving student learning and instruction, with emphasis on historically marginalized students.<br/>
</p>"
EDLD,692,EDLD 692,Research Writing,3 Credits,"Provides structure and guidance to complete the methods section of a dissertation proposal. The nature and scope of the dissertation methods will be determined by a range of factors, including the advisor’s guidance, the data to be used, and the scope of the study.",,,,,,"<p class=""courseblockdesc"">
Provides structure and guidance to complete the methods section of a dissertation proposal. The nature and scope of the dissertation methods will be determined by a range of factors, including the advisor’s guidance, the data to be used, and the scope of the study.<br/>
</p>"
EDLD,694,EDLD 694,Dissertation Preparation,3 Credits,"This course is designed to support students in preparing their a dissertation using the APA guidelines for publications in education/social sciences, the standards for measurement systems used in dissertations, and the standard four chapter format: introduction, methods, results, conclusions. Sequence with EDLD 699.",Prereq: EDLD 699.,,,,,"<p class=""courseblockdesc"">
This course is designed to support students in preparing their a dissertation using the APA guidelines for publications in education/social sciences, the standards for measurement systems used in dissertations, and the standard four chapter format: introduction, methods, results, conclusions. Sequence with <a class=""bubblelink code"" href=""/search/?P=EDLD%20699"" onclick=""return showCourse(this, 'EDLD 699');"" title=""EDLD 699"">EDLD 699</a>.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=EDLD%20699"" onclick=""return showCourse(this, 'EDLD 699');"" title=""EDLD 699"">EDLD 699</a>.<br/>
</p>"
EDLD,696,EDLD 696,Professional Writing I: Foundations in Professional Writing,3 Credits,Covers foundational knowledge of the American Psychological Association’s (APA) writing style as well as how to synthesize research for academic purposes.,,,,,,"<p class=""courseblockdesc"">
Covers foundational knowledge of the American Psychological Association’s (APA) writing style as well as how to synthesize research for academic purposes.<br/>
</p>"
EDLD,697,EDLD 697,Professional Writing II,3 Credits,"Students co-author and submit an article to a peer-reviewed journal or to ERIC. In addition, students will fill out the forms to apply for IRB Exempt research and IRB Review.",,,,,,"<p class=""courseblockdesc"">
Students co-author and submit an article to a peer-reviewed journal or to ERIC. In addition, students will fill out the forms to apply for IRB Exempt research and IRB Review.<br/>
</p>"
EDLD,698,EDLD 698,Professional Writing III: Literature Review,3 Credits,Students write a review of research manuscripts on a professional topic and continue to learn the nuances of APA writing style. Sequence with EDLD 696.,Prereq: EDLD 696.,,,,,"<p class=""courseblockdesc"">
Students write a review of research manuscripts on a professional topic and continue to learn the nuances of APA writing style. Sequence with <a class=""bubblelink code"" href=""/search/?P=EDLD%20696"" onclick=""return showCourse(this, 'EDLD 696');"" title=""EDLD 696"">EDLD 696</a>.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=EDLD%20696"" onclick=""return showCourse(this, 'EDLD 696');"" title=""EDLD 696"">EDLD 696</a>.<br/>
</p>"
EDLD,699,EDLD 699,Dissertation Methods Apprenticeship,3 Credits,Provides doctoral students in the DEd program a structured opportunity to complete their dissertation proposal and a PowerPoint presentation on their respective proposals.,,,,,,"<p class=""courseblockdesc"">
Provides doctoral students in the DEd program a structured opportunity to complete their dissertation proposal and a PowerPoint presentation on their respective proposals.<br/>
</p>"
EDLD,708,EDLD 708,Workshop: [Topic],1-16 Credits,"An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDLD,709,EDLD 709,Terminal Project,1-16 Credits,A presentation incorporating the knowledge and skills acquired from course work completed for a degree.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A presentation incorporating the knowledge and skills acquired from course work completed for a degree.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDLD,710,EDLD 710,Experimental Course: [Topic],1-5 Credits,Experimental course - topic varies.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Experimental course - topic varies.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDST,111,EDST 111,Education and Social Change,4 Credits,"Students will evaluate historical, philosophical, and social viewpoints related to the purposes and goals of American education. Additionally, students will compare/contrast multiple approaches to address a range of challenges and opportunities in American schools.",,,Social Science Area,,,"<p class=""courseblockdesc"">
Students will evaluate historical, philosophical, and social viewpoints related to the purposes and goals of American education. Additionally, students will compare/contrast multiple approaches to address a range of challenges and opportunities in American schools.<br/><b>Additional Information:</b><br/> Social Science Area<br/>
</p>"
EDST,196,EDST 196,Field Studies: [Topic],1-2 Credits,A series of practical experiences on or off campus to understand principles or develop skills in performing selected tasks.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A series of practical experiences on or off campus to understand principles or develop skills in performing selected tasks.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDST,198,EDST 198,Workshop: [Topic],1-2 Credits,"An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDST,199,EDST 199,Special Studies: [Topic],1-5 Credits,A recent topic is Exploring Educational Studies.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A recent topic is Exploring Educational Studies.<br/><b>Repeatable 99 times</b><br/>
</p>"
EDST,211,EDST 211,Childhood Studies,4 Credits,Examines child development from within the context of specific development and ecological theories.,,,,,,"<p class=""courseblockdesc"">
Examines child development from within the context of specific development and ecological theories.<br/>
</p>"
EDST,225,EDST 225,School and Representation in Media,4 Credits,"Examines popular culture’s influence on schools and teachers along with the various mediating factors such as race, ethnicity, social class, gender, sexuality, religion, and nationality.",,,"Cultural Literacy: US: Difference, Inequality, Agency",,,"<p class=""courseblockdesc"">
Examines popular culture’s influence on schools and teachers along with the various mediating factors such as race, ethnicity, social class, gender, sexuality, religion, and nationality.<br/><b>Additional Information:</b><br/> Cultural Literacy: US: Difference, Inequality, Agency<br/>
</p>"
EDST,331,EDST 331,Autobiography of Schooling,4 Credits,"The purpose of this course is to engage students in a critical reflection on life in classrooms through recognizing and questioning the assumptions underlying the routine of school. Includes analysis of critical autobiographies, case studies, readings along with application activities. Sequence with EDST 332, EDST 333.","Prereq: EDST 111, EDST 211.",,,,,"<p class=""courseblockdesc"">
The purpose of this course is to engage students in a critical reflection on life in classrooms through recognizing and questioning the assumptions underlying the routine of school. Includes analysis of critical autobiographies, case studies, readings along with application activities. Sequence with <a class=""bubblelink code"" href=""/search/?P=EDST%20332"" onclick=""return showCourse(this, 'EDST 332');"" title=""EDST 332"">EDST 332</a>, <a class=""bubblelink code"" href=""/search/?P=EDST%20333"" onclick=""return showCourse(this, 'EDST 333');"" title=""EDST 333"">EDST 333</a>.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=EDST%20111"" onclick=""return showCourse(this, 'EDST 111');"" title=""EDST 111"">EDST 111</a>, <a class=""bubblelink code"" href=""/search/?P=EDST%20211"" onclick=""return showCourse(this, 'EDST 211');"" title=""EDST 211"">EDST 211</a>.<br/>
</p>"
EDST,332,EDST 332,"Learning, Teaching, and Assessment I",3 Credits,"Students move beyond their own critical autobiographies of life in classrooms into various disciplinary literatures on learning, teaching, and assessment.",Prereq: EDST 331; coreq: EDST 338.,,,,,"<p class=""courseblockdesc"">
Students move beyond their own critical autobiographies of life in classrooms into various disciplinary literatures on learning, teaching, and assessment.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=EDST%20331"" onclick=""return showCourse(this, 'EDST 331');"" title=""EDST 331"">EDST 331</a>; coreq: <a class=""bubblelink code"" href=""/search/?P=EDST%20338"" onclick=""return showCourse(this, 'EDST 338');"" title=""EDST 338"">EDST 338</a>.<br/>
</p>"
EDST,333,EDST 333,"Learning, Teaching, and Assessment II",3 Credits,"Focus on specific school subjects that provide a context for examining the basic assumptions underlying teaching, learning, and assessment.",Prereq: EDST 332; coreq: EDST 339.,,,,,"<p class=""courseblockdesc"">
Focus on specific school subjects that provide a context for examining the basic assumptions underlying teaching, learning, and assessment.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=EDST%20332"" onclick=""return showCourse(this, 'EDST 332');"" title=""EDST 332"">EDST 332</a>; coreq: <a class=""bubblelink code"" href=""/search/?P=EDST%20339"" onclick=""return showCourse(this, 'EDST 339');"" title=""EDST 339"">EDST 339</a>.<br/>
</p>"
EDST,338,EDST 338,"Observation: Learning, Teaching, Assessment I",1 Credit,Students focus on listening to children to better understand how they make sense of school subjects.,Pre- or coreq: EDST 332.,,,,,"<p class=""courseblockdesc"">
Students focus on listening to children to better understand how they make sense of school subjects.<br/><b>Requisites:</b> Pre- or coreq: <a class=""bubblelink code"" href=""/search/?P=EDST%20332"" onclick=""return showCourse(this, 'EDST 332');"" title=""EDST 332"">EDST 332</a>.<br/>
</p>"
EDST,339,EDST 339,"Observation: Learning, Teaching, Assessment II",1 Credit,"Focuses on developing skills in observation of learning, teaching, and assessments.",Coreq: EDST 333.,,,,,"<p class=""courseblockdesc"">
Focuses on developing skills in observation of learning, teaching, and assessments.<br/><b>Requisites:</b> Coreq: <a class=""bubblelink code"" href=""/search/?P=EDST%20333"" onclick=""return showCourse(this, 'EDST 333');"" title=""EDST 333"">EDST 333</a>.<br/>
</p>"
